Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Utah Jazz,25.7,29,53,104.7,109.5,88.4,0.361,0.121,0.522,0.469,15,31.9,0.273,0.499,14.2,72.3,0.34,2005,0
Washington Wizards*,25.3,40,42,107.2,107.5,93.3,0.364,0.22,0.523,0.474,12.9,31.1,0.264,0.498,14.6,70,0.23,2005,1
Atlanta Hawks,22.7,28,54,106.4,111.6,90.4,0.34,0.178,0.534,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,2006,0
Boston Celtics,25.3,37,45,105.2,106.9,92.2,0.349,0.204,0.551,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,2006,0
Charlotte Bobcats,25.2,30,52,102.5,106.7,93.4,0.319,0.184,0.509,0.464,13,27.1,0.233,0.514,16.5,70.7,0.263,2006,0
Chicago Bulls*,24.1,43,39,104,103.4,92.9,0.292,0.219,0.527,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,2006,1
Cleveland Cavaliers*,27.1,48,34,107.8,105.4,89.8,0.362,0.228,0.538,0.492,13.3,28.4,0.263,0.49,12.8,75.7,0.226,2006,1
Dallas Mavericks*,27.5,58,24,111.8,105,87.8,0.364,0.175,0.55,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,2006,1
Denver Nuggets*,27.4,42,40,105.5,105.2,93.9,0.347,0.161,0.535,0.488,13.7,26.8,0.258,0.493,14.7,72,0.227,2006,1
Detroit Pistons*,28.5,60,22,110.8,103.1,86.8,0.297,0.221,0.535,0.497,11.2,28.9,0.216,0.477,13.7,71.2,0.191,2006,1
Golden State Warriors,25.6,37,45,104.8,106.2,93.3,0.323,0.27,0.521,0.479,13,26.9,0.232,0.492,14.1,71.6,0.243,2006,0
Houston Rockets,28.8,36,46,101.6,103.3,88,0.317,0.226,0.519,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,2006,0
Indiana Pacers*,27.3,47,35,104.5,102.4,89.7,0.344,0.245,0.533,0.487,14.8,27.1,0.254,0.464,13,72.6,0.232,2006,1
Los Angeles Clippers*,26.8,46,36,105.3,103.6,91.7,0.332,0.131,0.54,0.487,13.8,25.4,0.263,0.471,12.2,75.9,0.24,2006,1
Los Angeles Lakers*,25.1,48,34,108.4,105.7,90.9,0.329,0.24,0.539,0.495,13.1,28.8,0.245,0.486,13.4,73.6,0.242,2006,1
Memphis Grizzlies*,28.1,52,30,105.9,101.6,86.3,0.339,0.258,0.537,0.496,13.9,25.8,0.241,0.469,14.7,72,0.237,2006,1
Miami Heat*,29.2,52,30,108.7,104.5,91.6,0.363,0.227,0.556,0.517,13.9,26.7,0.254,0.477,12.4,76.4,0.251,2006,1
Milwaukee Bucks*,25.5,38,44,106.3,107.4,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,2006,1
