Team,Age,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year,Playoffs
Orlando Magic*,26.1,34,39,108.5,109.5,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.176,2020,1
Philadelphia 76ers*,26.3,42,31,111.3,109,99,0.255,0.36,0.566,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,2020,1
Phoenix Suns,24.6,37,36,111.7,111.4,101.3,0.271,0.361,0.576,0.532,13,22.2,0.226,0.539,13.7,78.8,0.221,2020,0
Portland Trail Blazers*,27.5,34,40,113.7,114.8,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,2020,1
Sacramento Kings,27,31,41,110.2,112.2,98.9,0.23,0.395,0.566,0.534,13,21.9,0.177,0.543,13.6,78.4,0.225,2020,0
San Antonio Spurs,27.6,33,38,112.4,113.5,100.5,0.262,0.318,0.572,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,2020,0
Toronto Raptors*,26.6,50,22,111.1,105,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,2020,1
Utah Jazz*,27.3,42,30,112.3,109.9,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,2020,1
Washington Wizards,25.1,26,46,110.9,115.5,102.7,0.27,0.358,0.562,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,2020,0
Utah Jazz*,28.5,55,17,117.6,108.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,2021,1
Los Angeles Clippers*,28.8,49,23,117.6,111.2,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,2021,1
Phoenix Suns*,26.6,49,23,117.2,111.3,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,2021,1
Milwaukee Bucks*,28.1,48,24,117.2,111.4,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,2021,1
Philadelphia 76ers*,27.1,48,24,113.2,107.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,2021,1
Denver Nuggets*,26.1,47,25,117.1,112.1,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,2021,1
Brooklyn Nets*,28.2,46,26,118.3,113.8,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,2021,1
Los Angeles Lakers*,28.2,42,30,109.9,107.1,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,2021,1
Dallas Mavericks*,26.3,41,31,115.4,113,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,2021,1
New York Knicks*,25.6,41,31,110.6,108.2,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,2021,1
Atlanta Hawks*,25.4,41,31,115.7,113.3,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,2021,1
Portland Trail Blazers*,27.4,40,32,117.8,116,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,2021,1
Boston Celtics*,25.1,39,33,114,112.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,2021,1
Golden State Warriors,26.7,38,34,111.1,110.1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,2021,0
Memphis Grizzlies*,24.2,38,34,112,111,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,2021,1
Miami Heat*,27.4,36,36,111.2,111.2,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,2021,1
Indiana Pacers,26.5,36,36,112.4,112.4,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,2021,0
New Orleans Pelicans,24.8,35,37,113.5,113.8,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,2021,0
Toronto Raptors,26.6,35,37,112,112.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,2021,0
Chicago Bulls,25.6,34,38,111.1,112,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,2021,0
San Antonio Spurs,26.2,32,40,111,112.8,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0.541,11.8,77.3,0.174,2021,0
Washington Wizards*,26.6,32,40,111.2,113,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,2021,1
Charlotte Hornets,24.6,32,40,110.9,112.8,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,2021,0
Sacramento Kings,25.6,28,44,113.6,117.2,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0.557,12.1,75,0.199,2021,0
Detroit Pistons,24.5,26,46,108,112.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,2021,0
Minnesota Timberwolves,23.2,24,48,109.5,115,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,2021,0
Houston Rockets,26.5,20,52,107.1,114.9,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,2021,0
Cleveland Cavaliers,24,18,54,105.8,114.4,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,2021,0
Orlando Magic,25.6,17,55,105.1,114.5,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,2021,0
Oklahoma City Thunder,22.8,15,57,103.5,114,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,2021,0
